author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Level Group,developer,https://www.cian.ru/sale/flat/317029862/,Москва,sale,flat,2,27,2,42.7,-1,0,20230203.0,Даниловский,,к14,Тульская,Павелецкая Сити ЖК
Alpha Star Properties,real_estate_agent,https://www.cian.ru/sale/flat/315745436/,Москва,sale,flat,25,61,1,60.0,-1,0,75000000.0,Пресненский,Краснопресненская набережная,14Ак1,Москва-Сити,Capital Towers
Tekta Group,developer,https://www.cian.ru/sale/flat/301261741/,Москва,sale,flat,21,34,2,42.6,-1,0,22084531.0,Обручевский, Архитектора Власова,,Воронцовская,Ever
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/315975609/,Москва,sale,flat,5,9,3,92.1,-1,0,112000000.0,Якиманка,Лаврушинский переулок,17С2,Третьяковская,
Главстрой,developer,https://www.cian.ru/sale/flat/306076627/,Москва,sale,flat,7,26,2,64.5,-1,0,33128941.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/316565405/,Москва,sale,flat,5,9,3,93.0,-1,0,111500000.0,Якиманка,Лаврушинский переулок,17С2,Третьяковская,
PIONEER,developer,https://www.cian.ru/sale/flat/313114568/,Москва,sale,flat,3,11,2,56.2,-1,0,,Даниловский,Дербеневская ,1С5,Павелецкая,"Клубный дом ""OPUS"""
Спутник,real_estate_agent,https://www.cian.ru/sale/flat/315495919/,Москва,sale,flat,8,8,3,99.4,-1,0,60000000.0,Дорогомилово, Дениса Давыдова,3,Парк Победы,
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/314208076/,Москва,sale,flat,14,25,3,83.2,-1,0,64000000.0,Хорошево-Мневники,Живописная ,21А,Серебряный Бор,Дом Серебряный Бор
MR Group,developer,https://www.cian.ru/sale/flat/306067955/,Москва,sale,flat,3,57,1,41.55,-1,0,,Филевский парк,,,Фили,Фили Сити ЖК
ID 104975303,homeowner,https://www.cian.ru/sale/flat/312155484/,Москва,sale,flat,4,5,2,43.0,-1,0,13500000.0,Щукино,Новощукинская ,9,Щукинская,
Главстрой,developer,https://www.cian.ru/sale/flat/296921134/,Москва,sale,flat,6,26,3,101.8,-1,0,,Филевский парк,Береговой проезд,2,Фили,Береговой-2
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/317567543/,Москва,sale,flat,14,16,2,53.7,-1,0,14200000.0,Марьино,Братиславская ,33,Братиславская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/316321471/,Москва,sale,flat,3,5,3,61.4,-1,0,29000000.0,Хамовники, Плющиха,9А,Смоленская,
Tekta Group,developer,https://www.cian.ru/sale/flat/301266291/,Москва,sale,flat,12,34,3,60.1,-1,0,29654500.0,Обручевский, Архитектора Власова,,Воронцовская,Ever
Мечты в квадрате,real_estate_agent,https://www.cian.ru/sale/flat/315662772/,Москва,sale,flat,11,15,3,113.5,-1,0,79000000.0,Даниловский, Родченко,2,ЗИЛ,ЗИЛАРТ
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/317042296/,Москва,sale,flat,4,12,3,63.0,-1,0,19000000.0,Головинский,Кронштадтский бульвар,30К2,Коптево,
MR Group,developer,https://www.cian.ru/sale/flat/317210437/,Москва,sale,flat,27,59,3,76.6,-1,0,,Можайский,,,Давыдково,Веер ЖК
ID 127540127,homeowner,https://www.cian.ru/sale/flat/314356422/,Москва,sale,flat,5,5,2,57.5,-1,0,22000000.0,Академический,проспект 60-летия Октября,14,Академическая,
MR Group,developer,https://www.cian.ru/sale/flat/316498997/,Москва,sale,flat,2,7,2,130.2,-1,0,312480000.0,Тверской,Никольская ,8,Площадь Революции,Nicole
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/315044981/,Москва,sale,flat,11,13,3,68.8,-1,0,57500000.0,Раменки,проспект Генерала Дорохова,39к2Б,Минская,Собрание клубных домов West Garden
ID 62458682,homeowner,https://www.cian.ru/sale/flat/317641470/,Москва,sale,flat,9,9,2,65.6,-1,0,20700000.0,Печатники, Кухмистерова,14,Люблино,
FORMA,developer,https://www.cian.ru/sale/flat/297983396/,Москва,sale,flat,4,25,2,66.9,-1,0,33648024.0,Аэропорт,Часовая ,,Сокол,SOUL
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/309623565/,Москва,sale,flat,7,14,3,68.9,-1,0,41000000.0,Раменки,проспект Генерала Дорохова,39к1В,Поклонная,Собрание клубных домов West Garden
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/317463756/,Москва,sale,flat,2,17,1,41.9,-1,0,8900000.0,Косино-Ухтомский,Лухмановская ,15к4,Лухмановская,
MR Group,developer,https://www.cian.ru/sale/flat/312667047/,Москва,sale,flat,2,7,2,142.38,-1,0,334593000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,LUCE
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302817609/,Москва,sale,flat,3,17,3,97.0,-1,0,97000000.0,Пресненский, Сергея Макеева,9к1,Улица 1905 года,RedSide
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/317201870/,Москва,sale,flat,2,16,2,58.5,-1,0,13700000.0,, 3-я Нововатутинская,2,Ольховая,"Новые Ватутинки, мкр. Центральный"
MR Group,developer,https://www.cian.ru/sale/flat/309402481/,Москва,sale,flat,4,17,3,83.33,-1,0,37540165.0,Алексеевский,,,Улица Сергея Эйзенштейна,Мира ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/317410369/,Москва,sale,flat,2,4,3,140.0,-1,0,166440614.0,Мещанский,Рождественский бульвар,10/7С1,Трубная,
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/316721155/,Москва,sale,flat,2,9,3,76.0,-1,0,65000000.0,Пресненский,Малая Никитская ,16/5,Баррикадная,
STONE,developer,https://www.cian.ru/sale/flat/305914265/,Москва,sale,flat,2,24,2,49.8,-1,0,22081320.0,Сокольники, Гастелло,,Сокольники,STONE Sokolniki
