price,district,underground,street,house_number,floor,floors_count,total_meters,rooms_count,residential_complex,url
316200000.0,Хамовники,Киевская,Погодинская ,2,4,13,186.0,3,Жизнь на Плющихе,https://www.cian.ru/sale/flat/316186331/
38400000.0,Хорошево-Мневники,Народное Ополчение, Народного Ополчения,11,3,23,104.0,3,Wellton park,https://www.cian.ru/sale/flat/317566170/
36430000.0,Марфино,Бутырская, Академика Королева,21,16,21,60.3,2,Дом Достижение,https://www.cian.ru/sale/flat/316493071/
47990000.0,Левобережный,Беломорская,,,4,21,89.0,2,Северный порт ЖК,https://www.cian.ru/sale/flat/317809522/
62900000.0,Арбат,Смоленская,Смоленская набережная,2А,2,11,103.0,3,,https://www.cian.ru/sale/flat/313852078/
,Щукино,Стрешнево,Щукинская ,3,7,21,98.9,3,Интонация,https://www.cian.ru/sale/flat/313175689/
74500000.0,Замоскворечье,Серпуховская,Мытная ,7с1,9,12,106.6,3,Английский квартал,https://www.cian.ru/sale/flat/310431008/
16600000.0,Солнцево,Говорово,Боровское шоссе,2к7,2,14,46.1,2,Мещерский лес,https://www.cian.ru/sale/flat/316209994/
277210000.0,Басманный,Чистые пруды,Потаповский переулок,5С4,3,6,120.3,2,Исторический дом ,https://www.cian.ru/sale/flat/313246214/
79900000.0,Раменки,Ломоносовский проспект,Ломоносовский проспект,29к3,6,17,110.0,3,Квартал Шуваловский,https://www.cian.ru/sale/flat/315755585/
46950000.0,Хамовники,Киевская,переулок Серпов,3-5,4,5,81.6,3,,https://www.cian.ru/sale/flat/317647402/
151890000.0,Хамовники,Фрунзенская,Фрунзенская набережная,30,2,12,66.6,1,Клубный квартал ,https://www.cian.ru/sale/flat/316419323/
52700000.0,Хорошевский,Аэропорт,Ленинградский проспект,37/5,19,41,66.0,3,Прайм Парк,https://www.cian.ru/sale/flat/316539388/
18000000.0,Войковский,Балтийская,Ленинградское шоссе,36К2,1,5,56.7,2,,https://www.cian.ru/sale/flat/317218474/
,Печатники,Печатники,Шоссейная ,4Д,6,23,60.0,2,Адмирал,https://www.cian.ru/sale/flat/312139831/
